"ALL","TUTTO"
"ANY","QUALSIASI"
"Add","Aggiungi"
"Apply","Applica"
"Conditions Combination","Condizioni combinazioni"
"Customer Groups must be specified.","Gruppo clienti deve essere specificato."
"End Date must be greater than Start Date","La data finale deve essere maggiore di quella iniziale"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s una di queste condizioni è %s:"
"Invalid discount amount.","Importo sconto non valido"
"Open Chooser","Apri selettore"
"Perform following actions","Esegui le seguenti azioni"
"Please choose a condition to add...","Seleziona una condizione da aggiungere..."
"Please choose an action to add...","Selezione un\'azione da aggiungere"
"Remove","Rimuovi"
"TRUE","VERO"
"Websites must be specified.","I siti web devono essere specificati."
"by","da"
"contains","contiene"
"does not contain","non contiene"
"equals or greater than","uguale o maggiore di"
"equals or less than","uguale o minore di"
"greater than","maggiore di"
"is","è"
"is not","non è"
"is not one of","non è uno di"
"is one of","è uno di"
"less than","meno di"
"to","a"
